Assembly Accession	Assembly Name	Assembly LongName	Assembly Level	Assembly Refseq Category	Assembly BioProject Accession	Organism Taxonomic ID	Organism Name	Assembly BioSample Description Organism Name	ANI Submitted organism	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Accession	Assembly BioSample Sample name	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Collected by	Assembly BioSample Identified by	Assembly BioSample Submission date	Assembly BioSample Publication date	Assembly Sequencing Tech	Assembly Assembly Method
GCF_902170805.1	IP39904		Contig		PRJEB33414	2890315	Yersinia artesiana	Yersinia enterocolitica	Yersinia artesiana			SAMEA5778933	IP39904										2019-07-19T08:15:34.913	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902726535.1	IP42750v1		Contig		PRJEB36031	2890315	Yersinia artesiana	Yersinia artesiana	Yersinia artesiana	IP42750		SAMEA6448863	IP42750					France					2020-04-18T18:18:53.736	2020-04-14T00:00:00.000	Illumina	SPAdes
GCF_902726545.1	IP42281v1		Contig		PRJEB36031	2890315	Yersinia artesiana	Yersinia artesiana	Yersinia artesiana	IP42281		SAMEA6448862	IP42281					France					2020-04-18T18:18:53.706	2020-04-14T00:00:00.000	Illumina	SPAdes
GCA_902170805.1	IP39904		Contig		PRJEB33414	2890315	Yersinia artesiana	Yersinia enterocolitica	Yersinia artesiana			SAMEA5778933	IP39904										2019-07-19T08:15:34.913	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902726525.1	IP41384v1		Contig	reference genome	PRJEB36031	2890315	Yersinia artesiana	Yersinia artesiana	Yersinia artesiana	IP41384		SAMEA6448861	IP41384					France					2020-04-18T18:18:53.673	2020-04-14T00:00:00.000	Illumina	SPAdes
GCA_902726535.1	IP42750v1		Contig		PRJEB36031	2890315	Yersinia artesiana	Yersinia artesiana	Yersinia artesiana	IP42750		SAMEA6448863	IP42750					France					2020-04-18T18:18:53.736	2020-04-14T00:00:00.000	Illumina	SPAdes
GCA_902726545.1	IP42281v1		Contig		PRJEB36031	2890315	Yersinia artesiana	Yersinia artesiana	Yersinia artesiana	IP42281		SAMEA6448862	IP42281					France					2020-04-18T18:18:53.706	2020-04-14T00:00:00.000	Illumina	SPAdes
GCF_037060685.1	ASM3706068v1		Complete Genome	reference genome	PRJNA961371	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	Y195	missing	SAMN34359770		Procyon lotor		intestine		Germany: Alt Ranft		2022-03-18			2023-04-25T07:14:04.500	2024-03-08T00:50:21.580	PacBio	Smrtlink v. v11
GCF_001131685.1	5139_5#11		Scaffold		PRJEB2117	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	127/84		SAMEA859906	12784-sc-2010-05-07-40610	Homo sapiens		feces		Finland		1984			2011-02-14T19:07:09.423	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001319545.1	4821_6#4		Scaffold		PRJEB2117	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	3016/84		SAMEA859867	301684-sc-2010-05-07-40627	Homo sapiens		feces		Finland		1984			2011-02-14T19:07:10.266	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001319955.1	5139_5#3		Scaffold		PRJEB2117	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	FE80217		SAMEA859958	FE80217-sc-2010-05-07-40602	Homo sapiens		feces		Finland		2006-01-25			2011-02-14T19:07:08.070	2011-02-14T00:00:00.000	SLX	Prokka
GCF_002738385.1	ASM273838v1		Contig		PRJNA269675	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	SCPM-O-B-7607		SAMN07821879		missing		missing		missing		missing			2017-10-23T05:15:03.943	2017-10-23T00:00:00.000	Illumina MiSeq	SPAdes v. 3.9.0
GCF_020531725.1	ASM2053172v1		Contig		PRJNA770150	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	IZSPB_Y87		SAMN22081165				food		Italy	41.25 N 16.25 E	2018/2020	IZSPB		2021-10-06T10:40:22.123	2021-10-08T00:00:00.000	Illumina MiSeq	SPAdes v. 3.12.0
GCF_030384995.1	ASM3038499v1		Contig		PRJNA986855	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	1639 StPb PI		SAMN35877855		Microtus arvalis		intestine		Russia: Lipetsk region, Usmansky district	52.228030 N 39.574696 E	2012-02-24	Voskresenskaya,E., Bogumilchik,E., Kokorina,G., Bessonova,V., Klimov,V., Afanasev,M., Karimova,T., Chesnokova,M.		2023-06-23T11:22:06.560	2023-06-23T00:00:00.000	DNBSEQ-G50	SPAdes v. 3.15.5
GCF_052315015.1	ASM5231501v1		Contig		PRJNA1308680	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	SR_P9c		SAMN50709854				Manured pond water		Canada: Ontario		2025-06			2025-08-20T21:50:05.980	2025-08-20T00:00:00.000	Illumina	SPAdes v. AUGUST-2025
GCF_902168485.1	IP26086		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778684	IP26086										2019-07-19T08:15:28.100	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168505.1	IP25873		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778683	IP25873										2019-07-19T08:15:28.070	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168535.1	IP33686		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778686	IP33686										2019-07-19T08:15:28.150	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168545.1	IP36520		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778687	IP36520										2019-07-19T08:15:28.180	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168555.1	IP27502		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778685	IP27502										2019-07-19T08:15:28.133	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168565.1	IP39738		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778682	IP39738										2019-07-19T08:15:28.023	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168615.1	IP38896		Scaffold		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778690	IP38896										2019-07-19T08:15:28.256	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168625.1	IP36824		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778688	IP36824										2019-07-19T08:15:28.193	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902168635.1	IP37104		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778689	IP37104										2019-07-19T08:15:28.226	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902388035.1	UHGG_MGYG-HGUT-02524		Scaffold		PRJEB33885	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5852029	MGYG-HGUT-02524			human gut		Finland					2019-08-07T10:18:27.523	2019-08-06T00:00:00.000	Illumina	Unknown
GCF_963900425.1	ena-yuan-GCF_902168615.1		Scaffold		PRJEB71012	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA115016766	ena-yuan-GCF_902168615.1					not collected		not collected			2024-03-02T10:03:15.609	2024-02-29T00:00:00.000	not collected	not collected
GCA_001131685.1	5139_5#11		Scaffold		PRJEB2117	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	127/84		SAMEA859906	12784-sc-2010-05-07-40610	Homo sapiens		feces		Finland		1984			2011-02-14T19:07:09.423	2011-02-14T00:00:00.000	SLX	Prokka
GCA_001319545.1	4821_6#4		Scaffold		PRJEB2117	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	3016/84		SAMEA859867	301684-sc-2010-05-07-40627	Homo sapiens		feces		Finland		1984			2011-02-14T19:07:10.266	2011-02-14T00:00:00.000	SLX	Prokka
GCA_001319955.1	5139_5#3		Scaffold		PRJEB2117	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	FE80217		SAMEA859958	FE80217-sc-2010-05-07-40602	Homo sapiens		feces		Finland		2006-01-25			2011-02-14T19:07:08.070	2011-02-14T00:00:00.000	SLX	Prokka
GCA_002738385.1	ASM273838v1		Contig		PRJNA269675	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	SCPM-O-B-7607		SAMN07821879		missing		missing		missing		missing			2017-10-23T05:15:03.943	2017-10-23T00:00:00.000	Illumina MiSeq	SPAdes v. 3.9.0
GCA_020531725.1	ASM2053172v1		Contig		PRJNA770150	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	IZSPB_Y87		SAMN22081165				food		Italy	41.25 N 16.25 E	2018/2020	IZSPB		2021-10-06T10:40:22.123	2021-10-08T00:00:00.000	Illumina MiSeq	SPAdes v. 3.12.0
GCA_030384995.1	ASM3038499v1		Contig		PRJNA986855	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	1639 StPb PI		SAMN35877855		Microtus arvalis		intestine		Russia: Lipetsk region, Usmansky district	52.228030 N 39.574696 E	2012-02-24	Voskresenskaya,E., Bogumilchik,E., Kokorina,G., Bessonova,V., Klimov,V., Afanasev,M., Karimova,T., Chesnokova,M.		2023-06-23T11:22:06.560	2023-06-23T00:00:00.000	DNBSEQ-G50	SPAdes v. 3.15.5
GCA_037060685.1	ASM3706068v1		Complete Genome	reference genome	PRJNA961371	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	Y195	missing	SAMN34359770		Procyon lotor		intestine		Germany: Alt Ranft		2022-03-18			2023-04-25T07:14:04.500	2024-03-08T00:50:21.580	PacBio	Smrtlink v. v11
GCA_052315015.1	ASM5231501v1		Contig		PRJNA1308680	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri	SR_P9c		SAMN50709854				Manured pond water		Canada: Ontario		2025-06			2025-08-20T21:50:05.980	2025-08-20T00:00:00.000	Illumina	SPAdes v. AUGUST-2025
GCA_902168485.1	IP26086		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778684	IP26086										2019-07-19T08:15:28.100	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168505.1	IP25873		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778683	IP25873										2019-07-19T08:15:28.070	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168535.1	IP33686		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778686	IP33686										2019-07-19T08:15:28.150	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168545.1	IP36520		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778687	IP36520										2019-07-19T08:15:28.180	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168555.1	IP27502		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778685	IP27502										2019-07-19T08:15:28.133	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168565.1	IP39738		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778682	IP39738										2019-07-19T08:15:28.023	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168615.1	IP38896		Scaffold		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778690	IP38896										2019-07-19T08:15:28.256	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168625.1	IP36824		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778688	IP36824										2019-07-19T08:15:28.193	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902168635.1	IP37104		Contig		PRJEB33414	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5778689	IP37104										2019-07-19T08:15:28.226	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902388035.1	UHGG_MGYG-HGUT-02524		Scaffold		PRJEB33885	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA5852029	MGYG-HGUT-02524			human gut		Finland					2019-08-07T10:18:27.523	2019-08-06T00:00:00.000	Illumina	Unknown
GCA_963900425.1	ena-yuan-GCF_902168615.1		Scaffold		PRJEB71012	634	Yersinia bercovieri	Yersinia bercovieri	Yersinia bercovieri			SAMEA115016766	ena-yuan-GCF_902168615.1					not collected		not collected			2024-03-02T10:03:15.609	2024-02-29T00:00:00.000	not collected	not collected
GCF_000167975.1	ASM16797v1		Contig		PRJNA16104	349968	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	ATCC 43970		SAMN00005351											2009-11-30T17:22:18.433	2009-12-14T00:00:00.000	Unknown	Unknown v. before 2010
GCF_013282745.1	ASM1328274v1		Chromosome		PRJNA635101	349968	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	ATCC 43970		SAMN15015918		Missing	Missing	Missing		Missing	Missing	Missing	CDC		2020-05-26T10:49:04.250	2020-05-26T00:00:00.000	PacBio RSII	HGAP v. 3
GCA_000167975.1	ASM16797v1		Contig		PRJNA16104	349968	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	ATCC 43970		SAMN00005351											2009-11-30T17:22:18.433	2009-12-14T00:00:00.000	Unknown	Unknown v. before 2010
GCA_013282745.1	ASM1328274v1		Chromosome		PRJNA635101	349968	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970	ATCC 43970		SAMN15015918		Missing	Missing	Missing		Missing	Missing	Missing	CDC		2020-05-26T10:49:04.250	2020-05-26T00:00:00.000	PacBio RSII	HGAP v. 3
GCF_009831415.1	ASM983141v1		Complete Genome	reference genome	PRJNA563543	2607663	Yersinia canariae	Yersinia canariae	Yersinia canariae	NCTC 14382		SAMN12676035		Homo sapiens	yersiniosis	missing		United Kingdom	n/a	2018	PHE		2019-09-03T06:00:16.440	2020-01-08T00:00:00.000	Oxford Nanopore MiniION; Illumina HiSeq	Flye v. v2.5
GCF_902170705.1	IP38017		Contig		PRJEB33414	2607663	Yersinia canariae	Yersinia canariae	Yersinia canariae			SAMEA5778932	IP38017										2019-07-19T08:15:34.900	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_902170775.1	IP37834		Contig		PRJEB33414	2607663	Yersinia canariae	Yersinia canariae	Yersinia canariae			SAMEA5778931	IP37834										2019-07-19T08:15:34.866	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_009831415.1	ASM983141v1		Complete Genome	reference genome	PRJNA563543	2607663	Yersinia canariae	Yersinia canariae	Yersinia canariae	NCTC 14382		SAMN12676035		Homo sapiens	yersiniosis	missing		United Kingdom	n/a	2018	PHE		2019-09-03T06:00:16.440	2020-01-08T00:00:00.000	Oxford Nanopore MiniION; Illumina HiSeq	Flye v. v2.5
GCA_902170705.1	IP38017		Contig		PRJEB33414	2607663	Yersinia canariae	Yersinia canariae	Yersinia canariae			SAMEA5778932	IP38017										2019-07-19T08:15:34.900	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCA_902170775.1	IP37834		Contig		PRJEB33414	2607663	Yersinia canariae	Yersinia canariae	Yersinia canariae			SAMEA5778931	IP37834										2019-07-19T08:15:34.866	2019-07-18T00:00:00.000	Illumina NextSeq 500	SPAdes
GCF_000754975.1	YEA		Scaffold		PRJNA243538	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	YEA		SAMN02887256				unknown		unknown		unknown			2014-06-26T14:42:04.280	2014-09-17T06:52:50.837	454; Illumina	Newbler v. 2.6; Velvet v. 1.1.05; AllPaths v. 39750; phredPhrap v. SPS - 4.24
GCF_000754985.1	YEE		Scaffold		PRJNA243537	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	YEE		SAMN02887277				unknown		unknown		unknown			2014-06-26T15:23:59.480	2014-09-17T06:52:51.040	454; Illumina	Newbler v. 2.6; Velvet v. 1.1.05; AllPaths v. 39750; phredPhrap v. SPS - 4.24
GCF_000755045.1	YEF		Scaffold		PRJNA243536	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	YEF		SAMN02887299				unknown		unknown		unknown			2014-06-26T16:34:04.930	2014-09-17T06:52:51.150	454; Illumina	Newbler v. 2.6; Velvet v. 1.2.08 ; AllPaths v. 39750; phredPhrap v. SPS - 4.24
GCF_000755055.1	YEG_1		Scaffold		PRJNA243535	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	ATCC 9610		SAMN02887290		Homo sapiens		missing		USA: New York		unknown			2014-06-26T16:00:49.760	2014-09-17T00:00:00.000	454; Illumina	Newbler v. 2.6; Velvet v. 1.2.08; AllPaths v. 44837; phredPhrap v. SPS - 4.24
GCF_000834195.1	ASM83419v1		Complete Genome		PRJNA240087	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	WA		SAMN03010445				human		USA: New York		Not Available			2014-08-27T18:32:59.356	2014-09-03T00:00:00.000	Illumina; 454	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24
GCF_000834735.1	ASM83473v1		Complete Genome		PRJNA240088	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	2516-87		SAMN03161068				Unknown		Unknown		Unknown			2014-11-04T11:33:01.697	2014-11-04T11:33:01.697	Illumina; PacBiol 454	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24; HGAP v. 2.2.0
GCF_000834795.1	ASM83479v1		Chromosome		PRJNA240089	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	8081		SAMN03160540				Fatal septicemia (human clinical isolate)		USA: Ohio		Unknown			2014-11-03T17:28:06.753	2014-11-03T17:28:06.753	Illumina; PacBio; 454	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24; HGAP v. 2.2.0
GCF_000987925.1	ASM98792v1		Complete Genome		PRJNA279015	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	FORC_002		SAMN03434891				gill of flatfish		not applicable	36.31 N 128.53 E	2013	Seoul National University		2015-03-20T00:59:48.623	2015-03-20T00:59:48.623	PacBio	HGAP assembly v. 2.2
GCF_001084885.1	8016_2#75		Scaffold		PRJEB2879	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	WA		SAMEA1486425	WA-sc-2012-05-10T13:21:12Z-1414787	Homo sapiens		blood		Belgium		1900/2008			2012-08-29T09:33:00.433	2012-08-21T00:00:00.000	SLX	Prokka
GCF_001085265.1	5103_7#7		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	ERL053435		SAMEA980177	N2153435_2-sc-2010-05-07-40693	Homo sapiens		not known		New Zealand		2005			2011-02-14T19:07:19.796	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001086025.1	8016_2#70		Scaffold		PRJEB2879	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	IP29228		SAMEA1486366	IP29228-sc-2012-05-10T13:21:08Z-1414782	Homo sapiens		feces		France		2007-09-17			2012-08-29T09:33:00.266	2012-08-21T00:00:00.000	SLX	Prokka
GCF_001086365.1	4976_3#8		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	ERL072344		SAMEA980221	N21572344_2-sc-2010-05-07-40730	animal		not known		New Zealand		2007			2011-02-14T19:07:25.950	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001086525.1	4976_6#7		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	ERL08708		SAMEA980132	NZ28081-sc-2010-05-07-40741	Homo sapiens		not known		New Zealand		2008			2011-02-14T19:07:27.810	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001087205.1	5116_2#3		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	YE15/07		SAMEA980183	y15_2-sc-2010-05-07-40683	Homo sapiens		not known		Germany		2007			2011-02-14T19:07:17.046	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001087805.1	8016_2#69		Contig		PRJEB2879	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	IP29194		SAMEA1486377	IP29194-sc-2012-05-10T13:21:07Z-1414781	Homo sapiens		feces		France		2007-08-07			2012-08-29T09:33:00.236	2012-08-21T00:00:00.000	SLX	Prokka
GCF_001090225.1	8016_2#66		Contig		PRJEB2879	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	IP20851		SAMEA1486319	IP20851-sc-2012-05-10T13:21:01Z-1414778	Homo sapiens		feces		Spain		1989			2012-08-29T09:33:00.140	2012-08-21T00:00:00.000	SLX	Prokka
GCF_001090445.1	4976_6#8		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	ERL032501		SAMEA980133	NZ832501-sc-2010-05-07-40742	Homo sapiens		blood		New Zealand		2003			2011-02-14T19:07:28.013	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001090885.1	5116_3#8		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	H621/87		SAMEA980199	2595-sc-2010-05-07-40766	Homo sapiens		not known		Germany		1987			2011-02-14T19:07:31.866	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001097785.1	4840_7#8		Scaffold		PRJEB2117	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	1127		SAMEA859857	1127-sc-2010-05-07-40643	Homo sapiens		not known		Ireland		1900/2008			2011-02-14T19:07:12.663	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001098085.1	4976_6#6		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	ERL032126		SAMEA980135	NZ1032126-sc-2010-05-07-40740	unknown		meat		New Zealand		2003			2011-02-14T19:07:27.660	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001102185.1	4976_6#1		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	ERL073627		SAMEA980213	N21873627-sc-2010-05-07-40735	Homo sapiens		blood		New Zealand		2007			2011-02-14T19:07:26.800	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001102905.1	4976_7#9		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	YE53/30444		SAMEA980198	YE5330444-sc-2010-05-07-40755	pig		not known		Germany		1900/2008			2011-02-14T19:07:30.210	2011-02-14T00:00:00.000	SLX	Prokka
GCF_001103745.1	4976_7#7		Scaffold		PRJEB2116	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	SZ5108/01		SAMEA980187	SZ510801-sc-2010-05-07-40753	Homo sapiens		not known		Germany		2001			2011-02-14T19:07:29.893	2011-02-14T00:00:00.000	SLX	Prokka
